treeID,Z,npoints,convhull_area,area,perimeter
7134,12.84,6,0.641,0.641249999927823,4.67765204628864
7135,12.84,12,1.913,1.91279999990365,6.32811532266054
7137,12.84,27,5.117,5.11740000019199,9.00822666038497
7138,12.83,15,1.315,1.31519999986631,5.34299154726807
7140,12.83,7,0.955,0.955450000124983,4.74892231175778
7141,12.83,13,1.917,1.91749999998137,6.23310246005181
7143,12.83,7,0.874,0.873550000047544,4.62347710786793
7144,12.83,7,1.396,1.39589999994496,4.9883594336311
7145,12.83,6,7.783,7.78344999905676,21.0305392608911
7147,12.83,5,0.315,0.314700000017183,2.61791949100621
7148,12.83,7,0.663,0.66345000002184,4.1595538568456
7149,12.82,16,1.346,1.34589999984019,4.89620283754914
7150,12.82,6,0.945,0.944999999977881,4.32044488470136
7151,12.82,22,4.666,4.66645000013523,10.3242271039031
7152,12.82,5,0.189,0.188699999998789,3.48769670689658
7153,12.82,15,3.797,3.79709999999614,9.38046926355696
7154,12.82,4,0.198,0.197500000009313,3.06191496267666
7155,12.82,9,0.833,0.833199999993667,4.2647448359757
7156,12.82,15,1.664,1.66434999997728,6.51673825788835
7157,12.82,5,0.176,0.175599999987753,2.13231271467308
7158,12.82,10,0.444,0.443749999918509,3.04455065404697
7159,12.82,11,1.888,1.88784999999916,5.56284719064553
7160,12.82,6,0.568,0.567800000077114,3.1075508619885
7161,12.82,7,0.997,0.996500000008382,4.8995652330589
7162,12.81,4,0.447,0.446600000024773,2.93075449371456
7163,12.81,20,5.467,5.467250000278,9.83787633031943
7165,12.81,7,0.38,0.380000000026484,2.49106683843967
7166,12.81,9,1.034,1.03404999995837,4.51666754687263
7167,12.81,4,0.068,0.0680000000138534,1.81719671079354
7168,12.81,27,28.492,28.4918999997899,26.1516074740792
7169,12.81,10,1.467,1.46704999991925,5.04545553990487
7171,12.81,71,22.659,22.6594500000356,18.5976635092924
7172,12.81,5,0.362,0.36199999996461,2.75407502998194
7173,12.81,10,1.45,1.45029999996768,4.90531663436969
7174,12.8,12,1.16,1.16005000015139,4.62391088395078
7175,12.8,10,1.333,1.33285000000615,5.90796793609864
7176,12.8,29,5.464,5.46369999978924,9.02075311489579
7177,12.79,4,0.108,0.107549999971525,1.77031622351097
7178,12.79,5,0.505,0.505450000113342,3.41955289715301
7179,12.79,5,0.294,0.294299999994109,3.39689733370501
7180,12.79,10,13.159,13.1584999996703,22.4457979369722
7181,12.78,22,1.772,1.7717999999295,5.58313083036181
7182,12.78,25,2.2,2.19964999996591,7.10479178008973
7183,12.78,15,2.267,2.26650000002701,6.57375920972594
7185,12.78,8,0.842,0.842399999964982,3.97376612314661
7186,12.78,5,0.174,0.174199999994016,2.08901012161335
7187,12.78,9,0.887,0.887400000006892,5.36584386801756
7189,12.78,8,1.297,1.29719999991357,4.73768198233547
7190,12.78,20,3.887,3.88670000014827,7.83081131149587
7191,12.78,5,0.674,0.673649999982445,4.24367966019311
7192,12.78,6,0.698,0.697800000052666,3.35263244349759
7193,12.78,7,0.946,0.945849999960046,4.44123395033664
7194,12.77,8,0.87,0.870199999990291,4.01072473588366
7195,12.77,11,1.45,1.44959999984712,4.96067202172704
7196,12.77,38,34.412,34.4119500000961,30.4008175000864
7197,12.76,4,0.098,0.0974999999889405,1.58896958144732
7198,12.76,4,0.188,0.187599999975646,2.14429457579577
7199,12.76,5,0.374,0.373799999972107,2.84845346001752
7200,12.76,6,0.225,0.225099999996019,2.17608098844776
7201,12.76,5,0.339,0.339050000009593,2.81552573596513
7202,12.76,15,3.01,3.00994999980321,7.55778596506047
7203,12.76,7,0.547,0.546850000042468,3.13081373453525
7204,12.75,19,4.457,4.45689999964088,10.0375350900101
7205,12.75,4,0.17,0.170349999985774,2.2139407340264
7206,12.75,17,1.994,1.99414999998407,6.04091717410217
7207,12.75,24,2.794,2.79365000012331,6.38737034107258
7208,12.75,6,0.735,0.735050000017509,3.52893016293838
7209,12.75,10,1.496,1.49585000006482,5.64233587938327
7211,12.75,8,0.783,0.782650000066496,3.82802352998338
7212,12.75,8,0.778,0.778049999964423,3.64655168592412
7213,12.75,9,0.986,0.985900000028778,3.95663956571262
7214,12.75,11,1.292,1.29244999989169,4.62745449937939
7215,12.75,13,2.559,2.55945000005886,6.97004999217509
7216,12.75,7,1.017,1.01685000004363,4.80719787585404
7217,12.74,4,0.244,0.243749999979627,2.1981689376251
7218,12.74,7,0.581,0.5808000000834,3.93143869778126
