"treeID","Z","npoints","convhull_area","area","perimeter","max_area_conifer","avg_area_conifer","max_perimeter_conifer","avg_perimeter_conifer","crown_diameter_hull_conifer","AGB_conifer"
1751,18.9,6,0.665,0.664599999960046,3.77734174935582,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,3.77734174935582,251.07185596979
1752,18.9,22,4.46,4.45960000003106,9.31303185671883,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,9.31303185671883,1262.72169580692
1753,18.89,10,1.46,1.45970000018133,5.13125963707048,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,5.13125963707048,434.034360066856
1754,18.89,44,11.721,11.720650000032,13.1966576502549,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,13.1966576502549,2354.25575252717
1755,18.89,9,1.59,1.59010000003036,5.93380811835038,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,5.93380811835038,562.976324567577
1756,18.89,34,5.767,5.76729999983218,10.2511599068179,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,10.2511599068179,1497.98289286554
1757,18.89,13,3.695,3.69455000001471,8.18790166985238,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,8.18790166985238,1001.84874001199
1758,18.89,11,1.479,1.47910000008414,4.97291398423734,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,4.97291398423734,410.352198949413
1759,18.89,23,4.024,4.02354999995441,8.46940899877738,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,8.46940899877738,1064.33961987572
1760,18.89,10,2.24,2.2396000000299,6.02880932031151,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,6.02880932031151,579.21211943918
1761,18.89,22,4.903,4.90284999986761,11.2368609131258,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,11.2368609131258,1765.54068041021
1762,18.88,48,10.842,10.8424499999674,12.5713366751915,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,12.5713366751915,2156.27593216616
1763,18.88,18,6.483,6.48329999975977,10.5897343916569,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,10.5897343916569,1586.19215363236
1764,18.87,13,2.793,2.79335000005085,6.80476106783413,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,6.80476106783413,718.016992277938
1765,18.87,4,0.096,0.0956999999471009,1.60171418873314,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,1.60171418873314,53.9022453614432
1766,18.87,15,3.387,3.38684999995166,7.19634865193115,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.19634865193115,793.652697734033
1767,18.86,20,4.203,4.20309999998426,8.50479006441782,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,8.50479006441782,1069.2651856889
1768,18.86,7,0.944,0.943599999969592,4.648998042242,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,4.648998042242,362.711100534429
1769,18.86,27,5.498,5.49784999986878,9.10913843152296,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,9.10913843152295,1209.07142580506
1770,18.86,19,3.517,3.51709999993909,7.50248080288002,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.50248080288002,854.2880767122
1771,18.86,9,0.79,0.789899999916088,3.99478017161846,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,3.99478017161846,276.477537016069
1772,18.86,8,1.333,1.33270000005723,5.12136484756262,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,5.12136484756262,431.308501700419
1773,18.85,15,2.737,2.73720000000321,7.95153657302016,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.95153657302016,947.071326315431
1774,18.85,9,0.769,0.768549999949755,4.74633669841543,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,4.74633669841543,376.059947881031
1775,18.85,11,2.279,2.2786999999953,6.40586771769738,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,6.40586771769738,643.205646961831
1776,18.85,14,2.368,2.36809999996331,7.16502270863546,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.16502270863546,785.98587536711
1777,18.84,6,0.093,0.0935000000754371,1.72022412267674,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,1.72022412267674,61.0745087885393
1778,18.84,4,0.135,0.135200000018813,1.68853991147923,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,1.68853991147923,59.0755881547029
1779,18.84,22,5.073,5.07315000006929,9.05500945807311,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,9.05500945807311,1193.97138522419
1780,18.84,27,5.303,5.30290000018431,8.82349731071056,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,8.82349731071056,1139.88156238694
1782,18.83,14,2.464,2.46380000002682,6.92369545646803,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,6.92369545646803,737.827741504869
1783,18.83,11,1.758,1.75795000008657,5.27012786996251,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,5.27012786996251,452.699381041217
1784,18.82,35,11.604,11.6037500003586,13.2368815893414,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,13.2368815893414,2351.43759188044
1785,18.82,10,0.577,0.577099999994971,3.88366852902791,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,3.88366852902791,261.866860544124
1787,18.82,13,2.903,2.90345000004163,7.71228372093717,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.71228372093717,894.117611525178
1788,18.82,16,3.882,3.88220000010915,7.62193712242086,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.62193712242086,875.455509455748
1789,18.82,8,0.967,0.966650000045775,3.84997957306117,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,3.84997957306117,257.814692727989
1790,18.82,20,4.301,4.3011500001885,8.35131192292014,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,8.35131192292014,1031.04591187562
1791,18.82,9,0.95,0.950249999994412,4.26615375296842,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,4.26615375296842,309.814987986681
1792,18.82,13,2.432,2.43225000001257,6.28288608212914,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,6.28288608212914,619.501018292177
1793,18.81,4,0.167,0.166649999962829,2.36670080180223,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,2.36670080180223,107.805400974143
1794,18.81,9,1.02,1.02009999996517,4.12756891496019,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,4.12756891496019,291.753963584174
1795,18.81,6,0.693,0.693000000057509,3.36191834499477,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,3.36191834499477,202.0760884599
1797,18.81,30,7.849,7.84895000042161,11.2459497341043,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,11.2459497341043,1754.7166444653
1798,18.81,6,0.577,0.576550000027055,3.16664158654263,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,3.16664158654263,181.549877050801
1799,18.81,20,4.199,4.19880000001285,9.15076473247782,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,9.15076473247782,1213.20065517504
1800,18.81,7,4.815,4.81499999947846,21.7501437751691,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,21.7501437751691,5714.53800108654
1801,18.81,5,0.092,0.0917999999874155,1.92744759551293,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,1.92744759551293,74.6522196254167
1802,18.8,16,6.271,6.2706500000786,9.80184852944629,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,9.80184852944629,1370.72966377585
1804,18.8,12,1.527,1.52660000001197,4.6912428504924,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,4.69124285049239,366.535364878573
1805,18.79,10,0.303,0.303499999987253,3.30207404726254,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,3.30207404726254,195.310362910428
1806,18.79,22,5.815,5.81489999988116,12.0826716236541,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,12.0826716236541,1991.4464004589
1808,18.79,15,2.756,2.75585000001593,6.57270151717161,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,6.57270151717161,669.666386619107
1809,18.79,20,3.692,3.6915999999037,7.56185381193462,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.56185381193462,860.679615354014
1810,18.79,17,4.46,4.45990000004531,8.75605109188507,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,8.75605109188507,1118.99651690119
1811,18.79,12,1.782,1.78174999999464,5.1848596376051,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,5.1848596376051,438.002044598169
1812,18.79,13,2.395,2.3950499999919,6.08490816924015,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,6.08490816924015,583.326372846801
1813,18.78,14,3.377,3.37740000011399,7.62138575178236,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.62138575178236,872.014740358333
1814,18.78,23,5.725,5.72474999987753,9.48226192687007,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,9.48226192687007,1289.30436539271
1815,18.78,6,0.278,0.278400000126567,4.15987899858082,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,4.15987899858082,295.0105292249
1816,18.78,32,11.414,11.4141999998828,14.3352420966329,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,14.3352420966329,2701.7681263671
1817,18.78,4,0.102,0.101850000064587,1.97651693810205,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,1.97651693810205,77.8654924093541
1818,18.78,5,0.269,0.269200000024284,2.74995333133845,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,2.74995333133845,140.629164382104
1819,18.78,5,0.036,0.0360499999951571,2.45450845890843,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,2.45450845890843,114.741251173568
1820,18.78,5,0.335,0.33520000000135,2.77340348642188,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,2.77340348642188,142.782979164137
1821,18.78,21,4.117,4.11664999998175,7.74604948275583,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.74604948275583,897.71140938361
1822,18.77,14,2.61,2.60975000000326,7.46716570292028,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.46716570292028,839.881227911077
1824,18.77,12,1.267,1.26720000000205,5.02450561104773,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,5.02450561104773,413.262580481639
1825,18.77,7,0.841,0.840549999964423,3.66337277784689,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,3.66337277784689,234.755732662586
1829,18.76,10,1.157,1.15695000003325,4.63245280262525,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,4.63245280262525,356.990314371799
1830,18.76,12,1.267,1.26684999995632,5.26221377307077,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,5.26221377307077,448.483354851216
1831,18.76,28,8.475,8.47514999995474,11.3708442989639,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,11.3708442989639,1781.24514384279
1832,18.75,6,0.688,0.687649999978021,3.41227211657021,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,3.41227211657021,206.342357502691
1833,18.75,15,4.386,4.38589999981923,9.89153668668267,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,9.89153668668267,1386.63571782071
1834,18.74,8,1.915,1.91514999989886,5.79536403148573,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,5.79536403148573,532.034769413318
1835,18.74,29,10.76,10.759550000017,12.6446668187935,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,12.6446668187935,2150.00640264785
1836,18.74,18,3.22,3.21969999991416,7.30727911821427,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.30727911821427,805.653357384138
1838,18.74,10,2.447,2.44724999991013,6.78492725945995,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,6.78492725945995,705.490914711547
1839,18.74,17,2.862,2.86230000003707,7.24834838384473,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.24834838384473,794.060220810224
1840,18.74,68,28.553,28.5529499995755,24.2687241696005,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,24.2687241696005,6906.52450682147
1841,18.74,31,9.157,9.156549999665,12.1630873295545,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,12.1630873295545,2005.64456554996
1842,18.74,15,1.664,1.66369999974268,5.28658219199116,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,5.28658219199116,451.345123179497
1843,18.74,12,1.863,1.86254999984521,7.9815600938751,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.9815600938751,943.545102370337
1844,18.74,8,1.144,1.14419999998063,4.35882356003851,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,4.35882356003852,319.518900408046
