"","treeID","V1","coords.x1","coords.x2","coords.x3","optional"
"2125",2261,17.93,574056.52,300408.01,17.93,TRUE
"2126",2262,17.93,574192.33,300384.57,17.93,TRUE
"2127",2263,17.93,574189.73,300381.59,17.93,TRUE
"2128",2264,17.93,574133.53,300445.62,17.93,TRUE
"2129",2265,17.93,574148.55,300310.05,17.93,TRUE
"2130",2267,17.93,574010.45,300372.1,17.93,TRUE
"2131",2269,17.92,574105.33,300463.73,17.92,TRUE
"2132",2270,17.92,574017.87,300377.55,17.92,TRUE
"2133",2271,17.92,574084.24,300362.78,17.92,TRUE
"2134",2272,17.92,574104.16,300471.64,17.92,TRUE
"2135",2273,17.92,574099.33,300466.55,17.92,TRUE
"2136",2274,17.91,574046.86,300323.98,17.91,TRUE
"2137",2275,17.91,574076.22,300378.14,17.91,TRUE
"2138",2276,17.91,574102.64,300332.61,17.91,TRUE
"2139",2277,17.91,574110.97,300425.71,17.91,TRUE
"2140",2278,17.91,574037.68,300387.59,17.91,TRUE
"2141",2279,17.91,574163.72,300322.45,17.91,TRUE
"2142",2280,17.9,574195.9,300388.23,17.9,TRUE
"2143",2281,17.9,574165.19,300340.76,17.9,TRUE
"2144",2282,17.9,574084.47,300349.5,17.9,TRUE
"2145",2283,17.9,574030.19,300395.49,17.9,TRUE
"2146",2285,17.89,574144.47,300311.8,17.89,TRUE
"2147",2286,17.88,574134.34,300398.26,17.88,TRUE
"2148",2287,17.88,574116.45,300300.27,17.88,TRUE
"2149",2288,17.88,574192.45,300374.83,17.88,TRUE
"2150",2289,17.88,574141.5,300441.12,17.88,TRUE
"2151",2290,17.88,574044.34,300390.33,17.88,TRUE
"2152",2291,17.88,574140.98,300310.85,17.88,TRUE
"2153",2292,17.87,574060.79,300416.61,17.87,TRUE
"2154",2294,17.87,574109.54,300460.77,17.87,TRUE
"2155",2295,17.86,574144.09,300335.77,17.86,TRUE
"2156",2296,17.86,574188.08,300379.2,17.86,TRUE
"2157",2297,17.86,574193.41,300376.42,17.86,TRUE
"2158",2298,17.86,574153.65,300317.8,17.86,TRUE
"2159",2299,17.86,574126.24,300426.61,17.86,TRUE
"2160",2300,17.86,574126.21,300429.3,17.86,TRUE
"2161",2301,17.86,574140.68,300422.16,17.86,TRUE
"2162",2302,17.86,574094.75,300356.4,17.86,TRUE
"2163",2303,17.85,574155.47,300421.22,17.85,TRUE
"2164",2304,17.85,574158.05,300420.1,17.85,TRUE
"2165",2305,17.85,574108.12,300356.5,17.85,TRUE
"2166",2306,17.85,574040.87,300415.59,17.85,TRUE
"2167",2308,17.84,573995.66,300349.72,17.84,TRUE
"2168",2309,17.84,574089.01,300322.83,17.84,TRUE
"2169",2310,17.84,574117.72,300423.01,17.84,TRUE
"2170",2311,17.84,574033.16,300393.02,17.84,TRUE
"2171",2313,17.83,574120.36,300372.68,17.83,TRUE
"2172",2314,17.82,574194.17,300399,17.82,TRUE
"2173",2315,17.82,574137.4,300426.7,17.82,TRUE
"2174",2316,17.82,574149.79,300345.05,17.82,TRUE
"2175",2317,17.82,574182.22,300365.9,17.82,TRUE
"2176",2318,17.82,574049.78,300416.38,17.82,TRUE
"2177",2319,17.82,574107.56,300468.79,17.82,TRUE
"2178",2320,17.81,574110.47,300360.97,17.81,TRUE
"2179",2321,17.81,574117.16,300366.16,17.81,TRUE
"2180",2322,17.81,574074.8,300327.26,17.81,TRUE
"2181",2323,17.81,574129.82,300319.64,17.81,TRUE
"2182",2324,17.81,574081.93,300439.83,17.81,TRUE
"2183",2325,17.81,574180.64,300407.48,17.81,TRUE
"2184",2326,17.81,574061.6,300420.83,17.81,TRUE
"2185",2327,17.8,574142.31,300386.89,17.8,TRUE
"2186",2328,17.8,574106.13,300465.38,17.8,TRUE
"2187",2329,17.8,574028.11,300387.43,17.8,TRUE
"2188",2330,17.8,574082.61,300453.45,17.8,TRUE
"2189",2331,17.79,574114.85,300400.63,17.79,TRUE
"2190",2332,17.79,574118.8,300355.85,17.79,TRUE
"2191",2334,17.78,574138.98,300328.72,17.78,TRUE
"2192",2335,17.78,574124.37,300438.19,17.78,TRUE
"2193",2336,17.78,574194.21,300395.41,17.78,TRUE
