treeID,Z,npoints,convhull_area,area,perimeter
2924,14.332,277,3.356,3.35629270982463,7.1572572291521
2930,14.3258,66,0.326,0.326086639965069,2.37322009191175
2957,14.3082,2136,16.529,16.528701364572,15.4271544224882
2971,14.2999,628,1.905,1.90462802504771,5.47089279663006
2975,14.2981,2077,5.739,5.73859208991053,9.08908313593644
3014,14.2716,2285,9.466,9.46606139029609,11.6556076306441
3028,11.5663,248,2.82,2.81994352005131,6.97207034529612
3082,14.2154,600,7.404,7.40444457484409,10.7883428725644
3125,0,18,0.179,0.178615384975274,1.70395845152584
3142,14.1699,511,4.823,4.82339307025541,8.8734316567544
3155,14.1634,285,10.005,10.0045604296029,22.2756741594346
3188,14.1376,673,9.215,9.21489217004273,12.029215893851
3213,0,740,22.301,22.3012702049164,18.3209125384671
3214,14.1159,423,8.483,8.48346081963973,11.0765245641624
3216,14.1148,825,3.041,3.04073427990079,6.50234784891145
3230,14.1055,60,0.312,0.311904995040095,2.18539737756403
3282,0,995,16.149,16.1492565398803,16.3394773294325
3293,14.0507,345,6.206,6.20580887480173,10.0322613003555
3331,14.0206,554,6.944,6.94437834512792,9.85416053644843
3363,12.2052,44,0.832,0.832102855085395,6.63279471534243
3367,13.988,695,3.467,3.4669289450394,7.22674111155786
3387,13.9711,6607,170.992,170.991691501666,51.3518625661147
3406,13.9519,1193,16.208,16.2078563351824,14.9177983974956
3427,13.9322,973,61.017,61.0170982899144,32.014477460235
3432,13.9295,642,9.076,9.0756539448048,11.3885258252765
3444,13.922,809,7.429,7.42901461498695,10.077065070974
3462,13.9122,4232,22.769,22.768828794593,18.74488579514
3468,13.9057,4852,68.135,68.1345515763387,32.3100344369229
3493,13.8835,643,2.297,2.29733454497182,5.6434076284003
3494,13.8835,2943,18.365,18.3646032551769,16.2173915881812
3525,13.8646,137,1.248,1.24814496008912,4.91332532698145
3539,13.8548,2915,74.18,74.1798875255627,33.2365477369307
3551,13.8465,5497,107.23,107.229514674342,39.8658037522988
3556,13.8399,227,4.143,4.14276719489135,8.39787959752031
3565,13.8357,2105,20.862,20.8618674644968,18.1446846660057
3601,13.801,790,8.841,8.84083788024145,12.3648170327894
3641,13.7682,579,3.597,3.59707906498807,7.54936261650884
3668,13.7413,3317,73.297,73.2971707405522,32.8482033704137
3671,13.732,96,0.824,0.82418854496791,3.4174529881823
3679,13.7243,1057,8.855,8.85519137972733,11.6446873260265
3710,0,377,9.529,9.52932896983111,13.2095037480345
3715,13.7002,929,56.237,56.2368536500726,31.1805672134113
3717,13.6992,1913,27.345,27.3445419142954,21.7036762093593
3731,0,1869,50.581,50.5809692647308,29.493838206018
3746,13.6809,3475,134.339,134.33928116312,45.3704403094599
3849,13.5947,422,14.724,14.7241333798738,15.4513598452829
3855,13.5881,572,12.202,12.2021464393474,14.0164979474548
3909,13.5423,269,2.544,2.54411544511095,6.30170872131896
3958,13.4985,389,3.509,3.5091730801505,7.46083573673856
4061,13.4179,880,9.978,9.97775117499987,12.4120554164378
4066,0,173,3.154,3.15436723492894,9.06379426459248
4069,6.8163,47,0.237,0.236866914972779,2.34280112108615
4090,13.3945,1189,71.175,71.1745109050535,33.8483359339303
4118,13.372,3169,55.008,55.00821926957,31.3667120069854
4135,13.3617,1167,4.863,4.86255389993312,8.43814225164131
4145,12.8234,3714,77.809,77.8091993744019,36.0726624173976
4158,13.3398,183,1.119,1.11942857985559,4.67374343780903
4201,13.2996,2573,75.333,75.3334141541272,34.9108093000206
4209,13.2881,630,3.131,3.13149564989726,8.18231927355281
4231,13.272,597,7.321,7.32074943964835,11.3823465262514
4232,13.27,4024,64.671,64.6714423057274,32.4061783984498
4249,13.2545,301,1.98,1.979965060018,5.720892670575
4253,13.2508,4044,77.685,77.6851573739696,33.5464652010934
4307,13.204,1690,16.992,16.9921745049069,15.8157132101576
4342,13.1759,811,6.689,6.68949010004872,10.4241177593411
4343,13.1756,1076,10.356,10.3560433250968,12.127614501493
4353,13.1628,584,5.71,5.70983089983929,8.86431403389886
4393,13.1194,252,11.03,11.0298190005124,23.3861866132707
4445,13.0654,305,5.48,5.47978378995322,10.9123520232015
4511,13.0078,470,19.288,19.2875109892339,22.8713425720928
4575,12.9441,191,1.06,1.06047137007408,3.9876357837521
4577,12.943,2574,54.008,54.0083324334119,28.6826809908565
4590,12.9352,1171,10.528,10.5283681248548,12.7096413473498
4592,12.9333,113,2.419,2.41859822993865,5.98039011811154
4603,12.9202,468,8.486,8.4859412900114,11.518485484574
4650,12.8737,462,3.098,3.09834589995444,6.8796344275204
4656,12.8685,519,9.545,9.54540356941288,11.5971088556714
4694,12.8206,1883,77.45,77.4497913559899,35.0061202822721
4704,12.8132,594,37.213,37.2129944446497,27.121096471977
4705,12.8131,634,30.446,30.4464623848326,26.3192929475325
4741,12.7846,3729,37.308,37.3076479751617,23.5178487639563
4742,12.7843,622,5.203,5.20320210012142,8.66939209260965
4763,12.7665,100,0.659,0.658834184985608,3.18027959593921
4767,12.7641,1275,6.375,6.37518858001567,9.83378767856461
4792,12.7364,443,4.075,4.07502206997015,7.86299157631097
4796,12.7304,853,59.565,59.5647300300188,32.6713784370645
4813,12.7173,119,14.762,14.7617608103901,22.2799798693645
4826,12.7001,491,3.779,3.77940278488677,7.43519490308551
4829,12.6963,302,4.037,4.03699399530888,8.0603599596196
4872,12.6576,122,0.584,0.584406854977715,2.88967430662247
4925,12.6189,733,8.92,8.91974108025897,11.9619847206124
4935,12.6073,1205,7.93,7.93012941512279,10.83472811047
4940,12.6027,574,6.332,6.33180493453983,9.64759114319444
4959,12.5777,26,0.144,0.144473405001918,1.46422889642108
5029,12.5163,2206,66.653,66.6526129702106,33.0394333497253
5087,0,30,0.368,0.368096144957235,3.18035976290539
