"","treeID","V1","coords.x1","coords.x2","coords.x3","optional"
"557",10270,2.3079,574145.4155,300371.7275,2.3079,TRUE
"558",10272,2.3036,574179.3044,300393.1064,2.3036,TRUE
"559",10281,2.2939,574117.9278,300426.9578,2.2939,TRUE
"560",10282,2.2931,574181.1739,300325.9468,2.2931,TRUE
"561",10283,2.2931,574076.0248,300417.2918,2.2931,TRUE
"562",10284,2.2927,574165.1179,300304.6852,2.2927,TRUE
"563",10286,2.2876,574143.7806,300277.5676,2.2876,TRUE
"564",10287,2.2871,574141.2354,300293.4847,2.2871,TRUE
"565",10290,2.282,574149.8814,300276.3805,2.282,TRUE
"566",10292,2.2813,574202.673,300383.6183,2.2813,TRUE
"567",10295,2.2777,574139.2366,300288.5628,2.2777,TRUE
"568",10303,2.2717,574180.6837,300334.9957,2.2717,TRUE
"569",10309,2.2603,574138.4174,300297.3903,2.2603,TRUE
"570",10317,2.2514,574138.6541,300298.606,2.2514,TRUE
"571",10322,2.2441,574150.2839,300366.6267,2.2441,TRUE
"572",10337,2.2222,574137.8521,300406.6851,2.2222,TRUE
"573",10356,2.1953,574154.4236,300357.097,2.1953,TRUE
"574",10366,2.1836,574208.8702,300364.3151,2.1836,TRUE
"575",10379,2.1605,574202.2092,300382.4244,2.1605,TRUE
"576",10385,2.1587,574153.7814,300356.2762,2.1587,TRUE
"577",10391,2.1406,574133.1584,300415.6591,2.1406,TRUE
"578",10397,2.1377,574159.6758,300353.8039,2.1377,TRUE
"579",10409,2.1313,574111.5869,300390.4736,2.1313,TRUE
"580",10410,2.1286,574165.5964,300308.3496,2.1286,TRUE
"581",10432,2.1055,574117.0442,300411.2565,2.1055,TRUE
"582",10435,2.1045,574118.0501,300386.1379,2.1045,TRUE
"583",10455,2.0846,574106.2584,300417.9529,2.0846,TRUE
"584",10461,2.0805,574155.1008,300359.3146,2.0805,TRUE
"585",10507,2.0447,574144.3728,300369.8317,2.0447,TRUE
"586",10510,2.0437,574128.6866,300402.3129,2.0437,TRUE
"587",10516,2.039,574136.7597,300262.795,2.039,TRUE
"588",10520,2.0355,574191.3189,300358.2493,2.0355,TRUE
"589",10527,2.0312,574144.8582,300276.7344,2.0312,TRUE
"590",10528,2.0309,574115.164,300407.0656,2.0309,TRUE
"591",10537,2.0251,574077.8076,300418.9178,2.0251,TRUE
"592",10540,2.0241,574123.8773,300299.2429,2.0241,TRUE
"593",10541,2.0238,574101.0827,300446.5549,2.0238,TRUE
"594",10551,2.0181,574137.4739,300417.4035,2.0181,TRUE
"595",10557,2.0131,574190.2383,300355.475,2.0131,TRUE
"596",10562,2.0099,574106.5101,300436.1492,2.0099,TRUE
