"treeID","Z","npoints","convhull_area","area","perimeter","max_area_conifer_2","avg_area_conifer_2","max_perimeter_conifer_2","avg_perimeter_conifer_2","crown_diameter_hull_conifer_2","AGB_conifer_2"
19,22.93,9,1.434,1.43440000002738,5.10775388008671,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,5.10775388008671,609.007800248768
20,22.92,13,4.665,4.66505000006873,10.0170359614776,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,10.0170359614776,2031.77376963201
21,22.91,9,1.962,1.96239999996033,6.65948823033352,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,6.65948823033352,977.624340454073
23,22.9,16,3.451,3.45140000013635,7.49865822385572,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,7.49865822385572,1208.07542448287
24,22.9,5,7.143,7.14309999952093,20.2969055307342,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,20.2969055307342,7180.80071707068
25,22.89,7,0.53,0.529950000025565,4.06167834708006,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.06167834708006,402.825382423852
26,22.86,12,3.806,3.80580000003101,8.29851464599453,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,8.29851464599453,1443.85992394799
27,22.86,21,6.418,6.41814999980852,10.5088632041296,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,10.5088632041296,2203.42961182395
28,22.85,5,0.277,0.277499999909196,4.16776921435373,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.16776921435373,420.534689442541
29,22.85,25,9.284,9.28435000032187,15.2456251735161,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,15.2456251735161,4285.52710810064
30,22.8,5,0.413,0.413149999978486,2.93026087900116,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,2.93026087900116,222.963408228425
31,22.76,13,4.407,4.40684999988298,8.55141037504172,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,8.55141037504172,1511.65914397488
32,22.75,22,13.619,13.619249999465,16.3636006352915,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,16.3636006352915,4826.22819710433
33,22.73,8,1.459,1.45880000008037,4.78625900655172,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.78625900655172,533.671666961848
36,22.71,9,2.944,2.94419999999809,6.97712775488851,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,6.97712775488851,1046.11127614505
37,22.69,8,2.207,2.20740000001388,6.0296151590123,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,6.0296151590123,804.322255333466
39,22.67,5,0.532,0.531900000030873,3.07754302810342,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,3.07754302810342,240.941486165064
40,22.65,4,0.269,0.268700000015087,3.78602185789046,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,3.78602185789046,348.56825579033
41,22.65,6,0.881,0.880799999868032,5.46066154821496,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,5.46066154821496,671.442873865755
42,22.64,5,0.185,0.184799999988172,4.95333708445303,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.95333708445303,563.461143732948
43,22.6,32,14.56,14.5599500001408,18.2572054873098,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,18.2572054873098,5802.15697270157
44,22.6,4,0.092,0.0917500000141445,2.01607853128597,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,2.01607853128597,112.380354334338
