"treeID","Z","npoints","convhull_area","area","perimeter","max_area_drone","avg_area_drone","max_perimeter_drone","avg_perimeter_drone","crown_diameter_hull_drone","AGB_drone_mixed","tree_height_crown_diameter"
26,27.3574,1375,9.967,9.96708141014096,11.7910309582051,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,11.7910309582051,1987.58996391625,322.571950336
27,27.355,11372,95.312,95.3120260871947,37.4368187676712,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,37.4368187676712,20336.0745381126,1024.08417738965
28,27.3123,12507,42.129,42.1291490744916,25.0082352891801,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,25.0082352891801,8998.94977920641,683.032424688672
29,27.2994,17133,116.741,116.740730470046,41.7402489763663,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,41.7402489763663,25212.4430111907,1139.48375290541
30,27.2761,9299,89.965,89.9654976299498,39.9122831519304,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,39.9122831519304,22999.5159654439,1088.65142648037
31,27.2643,3785,42.514,42.5137269703555,25.9438858866959,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,25.9438858866959,9655.29140511552,707.341887980643
32,27.2041,4687,25.195,25.1948813451454,19.247487958717,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,19.247487958717,5270.17937609191,523.610587177733
33,27.156,20078,135.131,135.130584415281,43.0414111164033,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,43.0414111164033,26536.6949285124,1168.83256027705
34,27.1417,21000,47.891,47.8905682654586,26.0998613460412,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,26.0998613460412,9684.23945963573,708.394606695847
35,27.1167,6828,120.924,120.924232079182,41.4887763441635,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,41.4887763441635,24573.1907147282,1125.03870149178
36,27.0775,22431,102.493,102.492610149187,38.5356957033348,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,38.5356957033348,21117.6272147825,1043.45030040705
37,27.0491,3410,23.008,23.0084484398831,17.9428266753284,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,17.9428266753284,4523.42485417875,485.337313023625
38,27.0448,10611,70.184,70.1843842901289,31.7535759722743,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,31.7535759722743,14267.7231260518,858.769111454964
39,27.0438,20085,111.127,111.126730374061,39.5183850980159,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,39.5183850980159,22160.0393904671,1068.72730291372
40,27.0271,4576,21.06,21.0603368298616,19.1195634238438,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,19.1195634238438,5132.02656215449,516.746352612569
41,27.0188,2720,11.373,11.3729396049748,13.000874846764,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,13.000874846764,2359.56540322053,351.268037309748
42,26.9989,44274,167.474,167.47373330954,48.0742585625143,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,48.0742585625143,32768.0911055528,1297.95209950347
43,26.9939,3779,44.018,44.0181591100991,25.5641142243636,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,25.5641142243636,9186.7071086171,690.075142961049
44,26.9687,17683,128.154,128.153947605751,46.9075203309559,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,46.9075203309559,31116.7160619981,1265.03484354945
45,26.9142,7417,28.504,28.5039981598966,20.67975403427,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,20.67975403427,5959.46106561263,556.579036029149
46,26.7639,11063,48.291,48.2912405397219,29.9391465855884,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,29.9391465855884,12410.4730028617,801.288325302028
47,26.7511,1728,6.094,6.09448658002657,9.54969637763703,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,9.54969637763703,1242.85130418791,255.464882767806
48,26.733,6137,55.091,55.0913297352381,31.8169449906222,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,31.8169449906222,13994.5835889246,850.562390434303
49,26.7316,5997,29.495,29.495466589462,21.1279104336768,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,21.1279104336768,6137.60465912751,564.782850548876
