"treeID","Z","npoints","convhull_area","area","perimeter","max_area_deciduous","avg_area_deciduous","max_perimeter_deciduous","avg_perimeter_deciduous","crown_diameter_hull_deciduous","AGB_deciduous"
17166,6.55,7,0.753,0.753499999962514,3.94034160834279,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,3.94034160834279,12.3130282488601
17167,6.55,18,2.649,2.64864999981364,8.07976787577848,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,8.07976787577848,52.2575614341704
17168,6.55,14,2.094,2.09369999994669,6.46355602323537,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,6.46355602323537,33.3452786330118
17169,6.55,4,0.178,0.177600000068196,2.10926303300248,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,2.10926303300248,3.49969638015424
17170,6.55,10,1.225,1.22504999994999,4.70529103494837,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,4.70529103494837,17.5983435766981
17171,6.55,5,0.368,0.36780000012368,2.77262329384339,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,2.77262329384339,6.06868369942196
17172,6.55,10,2.144,2.14370000001509,6.2157274883908,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,6.2157274883908,30.8215526844146
17174,6.55,26,13.451,13.4512000004761,22.6069554641516,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,22.6069554641516,414.614504185096
17175,6.55,5,0.151,0.150699999998324,2.15102949412642,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,2.15102949412642,3.64059459115926
17176,6.55,11,1.745,1.74464999989141,5.51623891598228,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,5.51623891598228,24.2372131191018
17177,6.54,14,1.232,1.23160000005737,4.43848119800509,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,4.43848119800509,15.5991980727683
17182,6.54,10,10.15,10.149949999759,20.8659332441726,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,20.8659332441726,351.761071448271
17183,6.54,24,4.193,4.19295000017155,11.7608388783871,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,11.7608388783871,110.920483767001
17184,6.54,24,1.916,1.91559999983292,6.55489396766047,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,6.55489396766048,34.1952790532769
17185,6.53,22,3.582,3.5824000002176,7.33859899973019,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,7.33859899973019,42.7918407765351
17186,6.53,5,0.336,0.336449999973411,2.74511534717502,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,2.74511534717502,5.91158810461626
17188,6.53,7,0.572,0.572350000031292,3.20658839604528,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,3.20658839604528,8.08251795802867
17191,6.53,10,0.989,0.989349999814294,3.79093810523716,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,3.79093810523716,11.3213646201858
17192,6.53,6,0.591,0.591350000016973,5.20731074096294,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,5.20731074096294,21.4498691716415
17193,6.53,8,1.312,1.31150000006892,4.87068858699057,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,4.87068858699057,18.7499919058894
17195,6.53,16,4.601,4.60130000021309,10.292208696336,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,10.292208696336,84.5398479700268
17196,6.53,10,1.126,1.12639999997918,5.65756528905027,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,5.65756528905027,25.3469096383587
17197,6.53,5,0.209,0.208650000000489,2.10014634100503,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,2.10014634100503,3.44802212124806
17198,6.52,13,2.521,2.52054999995744,6.86475636894189,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,6.86475636894189,37.2965141783367
17199,6.52,7,0.454,0.45374999998603,2.94277928797923,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,2.94277928797923,6.77877299808951
17200,6.52,7,1.094,1.09425000008196,4.95377986576152,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,4.95377986576152,19.3396871291514
17201,6.52,17,2.719,2.71885000006296,7.52318092715633,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,7.52318092715633,44.847484855832
17202,6.52,10,1.845,1.84530000010272,5.63657829722231,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,5.63657829722231,25.0804976632904
17203,6.51,11,3.286,3.28635000006761,7.09544871047685,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,7.09544871047685,39.7395044967974
17204,6.51,14,2.263,2.26305000012508,8.43458825796006,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,8.43458825796006,56.2816192367881
17205,6.51,29,1.862,1.86170000006678,5.63134386361277,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,5.63134386361277,24.9564053131352
17206,6.51,4,0.369,0.369299999932991,2.77197851314644,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,2.77197851314644,5.99150555767432
17207,6.51,6,0.533,0.533499999946798,2.86447103111458,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,2.86447103111458,6.40074353041761
17208,6.5,17,1.908,1.90824999997858,6.61453715062877,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,6.61453715062877,34.3970699193308
17209,6.5,6,0.771,0.771149999985937,3.61380400800408,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,3.61380400800408,10.1868231448291
17210,6.5,8,0.987,0.987100000027567,3.8608506861788,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,3.8608506861788,11.6372115013865
17212,6.5,6,0.655,0.654749999986961,3.38197612850985,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,3.38197612850985,8.91407592484507
17213,6.5,7,0.769,0.768599999893922,5.04592087151116,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,5.04592087151115,19.9468872758195
17214,6.5,17,0.871,0.870649999982561,3.70790784823685,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,3.70790784823685,10.7278471401112
17215,6.5,4,0.434,0.43400000006659,2.65946071330184,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,2.65946071330184,5.49497234362676
17216,6.5,10,1.531,1.53055000014137,6.02115057331282,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,6.02115057331282,28.4675993746869
17218,6.5,8,1.219,1.21940000000177,4.4726850103494,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,4.4726850103494,15.6476834643489
17219,6.49,8,6.959,6.95950000034645,20.8519655118353,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,20.8519655118353,345.901886655568
17220,6.49,6,0.392,0.391900000075111,3.70093066133196,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,3.70093066133196,10.6541783649291
17221,6.49,5,0.512,0.51175000006333,2.95776257405565,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,2.95776257405565,6.7851455077418
17223,6.49,46,6.534,6.53439999988768,11.7169559052252,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,11.7169559052252,108.401229318122
17224,6.49,8,0.536,0.536249999931897,3.24714174509114,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,3.24714174509114,8.18770212081029
