"treeID","Z","npoints","convhull_area","area","perimeter","max_area_conifer_drone","avg_area_conifer_drone","max_perimeter_conifer_drone","avg_perimeter_conifer_drone","crown_diameter_hull_conifer_drone","AGB_conifer_drone"
7008,10.3068,344,2.705,2.70460947995889,6.89986970850695,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,6.89986970850695,249.335918998001
7018,10.2944,569,5.794,5.79414412994811,9.28837419517881,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,9.28837419517881,423.580436499522
7049,10.2602,335,4.318,4.31849697501457,7.9639244031634,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,7.9639244031634,319.708700030065
7067,10.2288,1624,25.77,25.7701847346034,19.5759285333455,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,19.5759285333455,1590.51290883351
7094,10.1828,207,2.092,2.09223690023646,5.61078452618123,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,5.61078452618123,168.501008515709
7135,10.1078,1120,8.518,8.51799762982409,11.8053843840634,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,11.8053843840634,629.689986518815
7156,10.0751,38,0.188,0.188049635034986,2.00372752692965,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,2.00372752692965,26.1743278594763
7168,10.0252,14,0.095,0.0952624100027606,1.36762107061415,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,1.36762107061415,13.0949326134279
7212,9.948,422,4.339,4.33884412987391,8.09412886092259,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,8.09412886092259,311.414986793753
7233,9.9091,137,10.401,10.4007654103916,23.1288346408969,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,23.1288346408969,2025.37020666688
7248,9.8883,343,4.152,4.15163451498665,7.74250587119705,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,7.74250587119705,284.533661069132
7271,8.9812,57,10.916,10.9162909192964,21.3712487754728,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,21.3712487754728,1474.45663250123
7290,9.8001,482,11.366,11.3664767652663,12.456207503086,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,12.456207503086,655.860107729417
7352,0,58,1.362,1.36187271517701,5.43698473650328,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,5.43698473650328,0
7360,9.6454,268,4.529,4.52889333455823,9.1384025393567,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,9.1384025393567,366.149974578257
7401,9.5644,960,16.254,16.2537190297153,15.5042248377196,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,15.5042248377196,929.075282407002
7410,9.5455,179,2.131,2.13149120996241,5.98779736908481,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,5.98779736908481,168.622570534644
7417,9.5355,352,4.035,4.03538609982934,7.99707796823785,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,7.99707796823785,282.513924310769
7435,9.5057,409,7.106,7.1062792048906,10.7607734447779,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,10.7607734447779,477.924565314707
7517,9.3139,408,2.867,2.86702517514641,6.37955165972562,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,6.37955165972562,180.753976376815
7617,9.1329,14,0.113,0.113240100021358,1.46359569832403,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,1.46359569832403,12.5129974041163
7696,8.956,309,5.38,5.38021049974486,8.47371299969214,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,8.47371299969214,280.09424787252
7722,8.8847,55,0.522,0.522237600089284,2.79350887358247,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,2.79350887358247,37.8832402475268
7737,8.8433,4061,95.472,95.4720398648642,39.238038655351,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,39.238038655351,4255.43259884912
