treeID,Z,npoints,convhull_area,area,perimeter,crown_diameter_hull_deciduous_drone
5623,11.9301,226,1.992,1.99192551494343,5.37392590328092,5.37392590328092
5624,11.9292,149,2.306,2.30586603505071,5.79231079881434,5.79231079881434
5625,11.9287,112,0.81,0.810489629977383,3.37142660268555,3.37142660268555
5626,11.9284,138,1.344,1.3437586450018,4.38927547066932,4.38927547066932
5627,11.9264,865,7.849,7.84886636491865,10.7853201453712,10.7853201453712
5628,11.9252,62,0.579,0.578873429964005,2.91416517587371,2.91416517587371
5629,11.9249,123,1.785,1.78494186990429,5.20740808698463,5.20740808698463
5630,11.9247,633,7.466,7.4662451898912,10.8633728963262,10.8633728963262
5631,11.9234,1336,8.885,8.88535560516175,12.1217739541795,12.1217739541795
5632,11.9232,281,1.001,1.00085689994739,4.10106729204166,4.10106729204166
5633,11.9226,581,3.052,3.0524068151135,6.58506116916672,6.58506116916672
5634,11.9223,849,9.984,9.98357436002698,12.8279773251225,12.8279773251225
5635,11.922,297,4.337,4.3367337698146,8.24836796536707,8.24836796536707
5636,11.921,66,0.274,0.273790969949914,2.17325286032736,2.17325286032736
5637,11.9205,873,9.398,9.3976887948229,11.7980025957455,11.7980025957455
5638,11.92,380,4.836,4.83642027509632,8.67324614115982,8.67324614115982
5639,11.9188,355,3.51,3.51014039013535,7.63554672077481,7.63554672077481
5640,11.9183,368,7.061,7.0612720749341,9.81848214731932,9.81848214731932
5641,11.9182,7438,49.907,49.9067886651028,26.7515945826189,26.7515945826189
5642,11.9176,275,2.378,2.37775063002482,6.14857766158817,6.14857766158817
5643,11.9158,814,16.252,16.2521121701575,15.6393669298702,15.6393669298702
5644,11.9156,216,3.377,3.37744391488377,6.99662724254556,6.99662724254556
5645,11.9155,1441,10.363,10.3625355148979,12.9635357489241,12.9635357489241
5646,11.9126,202,2.899,2.89905619987985,6.48577080050298,6.48577080050298
5647,11.9059,219,1.983,1.98342593503185,5.46862162033979,5.46862162033979
5648,11.9059,674,7.137,7.13677026992082,10.6823453902234,10.6823453902234
5649,11.9052,8694,17.965,17.9654726796725,16.1837233166072,16.1837233166072
5651,11.9047,3338,52.433,52.4329584797524,30.9780400342908,30.9780400342908
5652,11.9046,900,3.639,3.63903458003188,7.47464773656902,7.47464773656902
5653,11.9043,915,3.121,3.12123344989959,6.7104665226646,6.7104665226646
5654,11.9039,652,7.794,7.79404307491495,11.680586164438,11.680586164438
5655,11.903,1369,12.426,12.4260219949065,13.908732341999,13.908732341999
5656,11.9029,1952,12.87,12.86994087536,14.0743237084294,14.0743237084294
5657,11.9022,649,5.938,5.93827392019739,9.42094371512642,9.42094371512642
5658,11.9019,149,1.154,1.15390494003077,4.69043230105267,4.69043230105267
5659,11.9009,819,7.601,7.60103041992988,10.7721576291801,10.7721576291801
5660,11.8995,2084,24.552,24.5522487501148,19.6757061964887,19.6757061964887
5661,11.8985,1399,14.388,14.3882955795852,14.7757246285555,14.7757246285555
5662,11.8984,775,9.341,9.34059295979387,12.3575364241387,12.3575364241387
5663,11.8972,713,11.393,11.3928843298927,14.1232962985299,14.1232962985299
5664,11.8971,988,12.125,12.124803679646,13.6818406420729,13.6818406420729
5665,11.8954,507,7.581,7.58066979504656,10.9978008363558,10.9978008363558
5666,11.8949,2157,22.879,22.8792464993603,18.2274167478035,18.2274167478035
5667,11.8944,559,9.748,9.74812700500479,12.3635340032002,12.3635340032002
5668,11.8943,2440,26.446,26.4464019151637,19.5204552573754,19.5204552573754
5669,11.8934,2671,24.758,24.7577215646379,18.5865795586954,18.5865795586954
5670,11.8922,620,23.605,23.6051922746701,26.7050614257466,26.7050614257466
5671,11.8911,309,23.481,23.4807668356225,24.0428638228718,24.0428638228718
5672,11.8908,169,2.538,2.53768601012416,6.4113838642589,6.4113838642589
5673,11.8857,160,1.312,1.31215917505324,5.23713120820938,5.23713120820938
5675,11.8851,319,4.833,4.83338912995532,8.23874400794839,8.23874400794839
5676,11.8846,323,3.39,3.39015722495969,7.44054882769755,7.44054882769755
5677,11.8841,979,15.058,15.0584065596049,14.4295575703171,14.4295575703171
5678,11.8819,390,3.958,3.95818682506797,8.04459517222661,8.04459517222661
